"","cluster","RPS15","NDUFB7","RPS9","RPL13","RPLP2","FAU"
"TCGA.AR.A0TX",2,297.894956808112,293.133800095101,370.904286377152,368.006939332876,573.493506245514,408.631531332849
"TCGA.AR.A1AX",2,209.927318736977,322.055588693859,474.093141119204,279.787922943134,873.652165875419,469.95833644204
"TCGA.AR.A254",2,352.921343319613,193.021160087007,403.300610974119,396.354148225003,1062.54543789536,396.861778689967
"TCGA.AR.A255",2,343.141124774069,303.928562028694,309.465182314168,253.409788248551,779.2174995117,476.580872899214
"TCGA.BH.A0AU",2,121.298176126919,352.815608249135,276.652651005255,144.768312492724,819.089015929084,419.985884768542
"TCGA.BH.A0B7",2,410.480547214665,335.767644322145,359.934928820692,404.779984701439,1010.54875402638,435.464494234237
"TCGA.BH.A0DD",2,379.395735840974,391.583814933383,463.782226070349,495.407295908947,869.851288443673,453.960251110749
"TCGA.BH.A0DZ",2,643.855321453835,615.934703744192,1057.86310736644,502.3804498028,938.057798330861,848.22897349198
"TCGA.BH.A18I",2,306.107877496839,235.186682574813,340.465072686269,275.728198333926,872.04556857095,413.105353564344
"TCGA.BH.A18M",2,323.6770368212,265.311669176971,465.45622780577,303.127262000968,1035.50692070037,595.544993259014
"TCGA.BH.A18P",2,221.720341142069,217.999752556385,324.015638905808,227.090878323591,520.322894015225,199.573130671884
"TCGA.BH.A18U",2,315.252093744792,286.830631320969,499.910599764067,314.849077983619,528.436635013752,712.916396916868
"TCGA.BH.A1EV",2,284.386996042037,269.49702437498,469.675463137949,302.119408899862,798.370069801535,363.566243027534
"TCGA.BH.A1EX",2,150.170676363202,177.503508305305,180.176747781867,312.372467683329,481.958413326181,228.289669045832
"TCGA.BH.A1F2",2,120.273643471473,110.151665140217,108.591460312167,119.992309729647,613.548489519031,208.304815743771
"TCGA.BH.A1F8",2,100.551003640665,112.558921596847,98.8373551972333,102.009599088345,609.100531658229,136.142495497801
"TCGA.BH.A202",2,249.973031284391,243.570076381253,326.531510068074,230.30536343677,857.186564414515,401.275769688989
"TCGA.D8.A140",2,333.828466594701,405.823766074119,298.535424153409,292.535884613102,816.116273711729,410.968818419177
"TCGA.D8.A1J9",2,319.095270275345,255.65794906833,271.598156465133,166.164106323372,366.258202759173,442.717487127158
"TCGA.D8.A1X5",2,269.720970800932,272.723595182742,312.734184649167,185.105160170311,601.823308022183,498.688517044777
"TCGA.D8.A1XJ",2,478.271071247344,405.639868483805,521.487920996765,325.200479824547,1017.95954871475,668.902089397378
"TCGA.D8.A1XS",2,186.652986649233,208.16345474074,299.693779646923,206.985612732645,618.229130047523,262.919379615517
"TCGA.D8.A1XY",2,225.958222417178,276.10079180324,274.646818068601,196.675690983499,654.016877501497,376.86079326359
"TCGA.E2.A10A",2,243.438452684524,209.375233724429,279.536041505762,147.709274575997,636.582531675258,493.924610982898
"TCGA.E2.A14V",2,562.002326776068,289.737336951986,394.223821807384,504.15426185307,1643.1491997781,351.915041952203
"TCGA.E2.A152",2,222.197235106435,286.828104828308,396.184905685023,396.796365581478,516.344253481805,533.816997181205
"TCGA.E9.A1N4",2,453.23622210403,266.274042415143,511.121469664829,305.551893417708,1011.60531893293,448.221324388217
"TCGA.E9.A1N5",2,317.344329343832,334.622823086452,432.805629751512,264.362811406727,521.769019115372,294.901484159518
"TCGA.E9.A1NA",2,541.681109001775,1005.10949250592,703.016334972326,576.495323385301,852.26561943871,1035.15095397934
"TCGA.E9.A22E",2,472.414459158307,421.653958650976,521.97275199364,522.264971849894,915.27414692338,769.767619595176
"TCGA.E9.A22H",2,230.115344004215,178.499854570307,214.128794061123,106.091866484896,440.497399366815,285.616175371492
"TCGA.EW.A1IW",2,280.389930137386,372.73612835833,349.082922918053,235.785902728623,1243.24175510552,1542.86706929567
"TCGA.EW.A1J3",2,219.128130555692,112.897086420986,164.31298668991,186.1205045574,745.825253474045,217.946000517838
